,support,predicted,hit,recall,precision,f1
agriculture,14,20,12,0.86,0.6,0.71
animals or plants,3,3,3,1.0,1.0,1.0
class,8,5,3,0.38,0.6,0.46
climate change,3,3,2,0.67,0.67,0.67
development,10,14,7,0.7,0.5,0.58
digital technology,3,6,3,1.0,0.5,0.67
emotion,1,3,1,1.0,0.33,0.5
energy,4,4,4,1.0,1.0,1.0
forests,2,4,2,1.0,0.5,0.67
gender,9,8,8,0.89,1.0,0.94
idenity,1,0,0,0.0,0.0,0.0
identity,8,4,3,0.38,0.75,0.5
indigenous populations,3,4,2,0.67,0.5,0.57
inequality,17,20,13,0.76,0.65,0.7
infrastructure,5,6,3,0.6,0.5,0.55
justice,5,5,4,0.8,0.8,0.8
landscape,16,10,7,0.44,0.7,0.54
livelihood,12,13,9,0.75,0.69,0.72
migration,10,12,8,0.8,0.67,0.73
mobility,2,8,0,0.0,0.0,0.0
natural resources,11,6,6,0.55,1.0,0.71
not rural?,2,2,1,0.5,0.5,0.5
planning,6,7,3,0.5,0.43,0.46
policy,6,5,3,0.5,0.6,0.55
political systems,9,8,5,0.56,0.62,0.59
poverty,3,3,0,0.0,0.0,0.0
power,9,11,5,0.56,0.45,0.5
property,3,7,3,1.0,0.43,0.6
race,5,7,5,1.0,0.71,0.83
recreation/second homes,1,2,1,1.0,0.5,0.67
resilience,2,2,1,0.5,0.5,0.5
urbanization,4,8,2,0.5,0.25,0.33
water,8,8,7,0.88,0.88,0.88
weather or hazards,2,3,2,1.0,0.67,0.8
