doi,pub year,article title,has_pdf,docling_parsed
10.1080/24694452.2025.2601315,2025,Geographical Disparities in Energy Access: Challenges and Opportunities for Ghana's Energy Transition,False,False
10.1080/00330124.2025.2582789,2025,From the Right to Energy to the Right to the Countryside and Back Again: Contextualizing Rural Energy Transitions,False,False
10.1080/00330124.2025.2577916,2025,Spatiotemporal Relationship Between Tsunami Inundation and Evacuation Behavior,False,False
10.1080/00167428.2025.2552115,2026,From Labor to Life in Vegetal Geography: Exploring Ontological Marginalization and Critical Externalities in the Plantationscape of a Global South Country,False,False
10.1080/24694452.2025.2569512,2026,Resituating Urban Geopolitics: Connections and Frontiers,False,False
10.1080/24694452.2025.2522840,2025,"Digital technology and post-rural: rural restructuring in guangzhou, china",False,False
10.1080/00167428.2025.2512731,2025,From Street View Imagery to the Countryside: Large-Scale Perception of Rural China Using Deep Learning,False,False
10.1080/00330124.2025.2510976,2025,"An Indicator Framework for Resilient Agroecosystems in Ontario, Canada",False,False
10.1080/24694452.2025.2505682,2025,"How Far to Go to Encounter the Differences: Examining the Nonlinear Relationships Between Low-Income Migrants' Activity-Space Segregation and Traveling Distances in Shenzhen, China",False,False
10.1080/00330124.2025.2506793,2025,We Women Are Suffering: Fragile Water Infrastructure and Gendered Embodied Labor,False,False
10.1080/24694452.2025.2504584,2025,TACIT EVASION OR A MISPLACED POLICY GAZE: A POLITICAL ECOLOGY OF THE DEFORESTATION AND CHARCOAL CONUNDRUM IN MALAWI,False,False
10.1080/00167428.2025.2475803,2025,Toward Postsecular Feminism: Intersectionality and the Religious Subjectivities of Women Migrant Workers in China,False,False
10.1080/00330124.2025.2468684,2024,What Is Your Primary Language?: Spatial Considerations of Primary Language Identification in a Multilingual Rural Region,False,False
10.1080/24694452.2024.2446559,2024,"Wakeful Geographies, Wakeful Bodies: Day and Nighttime Rhythms of Indebted Life and Capitalist Enclosure in Cambodia",False,False
10.1080/00330124.2024.2440713,2025,TOWARDS FOOD SOVEREIGNTY: THE ROLE OF SMALLHOLDER FARMERS' SEED SECURITY IN IMPROVING CLIMATE CHANGE RESILIENCE IN NORTHERN MALAWI,False,False
10.1080/00167428.2024.2405213,2024,Spatioethnic Household Carbon Footprints in China and the Equity Implications of Climate Mitigation Policy: A Machine Learning Approach,False,False
10.1080/24694452.2024.2412178,2024,Using Data Bricolage and Mixed-Methods GIS to Uncover Mental Health Service Gaps in Rural Australia,False,False
10.1080/24694452.2024.2410002,2024,"Sustaining Hierarchies: A Cross-Level and Cross-Scale Analysis of Power, Politics, and Dominant Discourse in Adaptive Decision Making",False,False
10.1080/00330124.2024.2370264,2023,"Forests of Fear: Illegal Logging, Criminalization, and Violence in the Carpathian Mountains",False,False
10.1080/24694452.2024.2353173,2023,Land-Use and Land-Cover Changes and Farmers' Perceptions of Ecosystem Services in an Eastern Amazon Rural Settlement,False,False
10.1080/00167428.2024.2335395,2023,"Regional Drinking Water Supply in Pakistan: Regional Disparity, Inequality, and Development Pattern",False,False
10.1080/24694452.2024.2313496,2023,Human and Physical Dilemmas in Small-Scale Irrigation Development: Evidence from Climate-Sensitive Northern Ghana,False,False
10.1080/00330124.2024.2308610,2023,"Nature, Agriculture, and Black Space-Making in Serra dos Tapes, Brazil",False,False
10.1080/24694452.2023.2265984,2023,Dharavi in Beijing? A Hidden Geography of Waste and Migrant Exclusion,False,False
10.1080/24694452.2023.2249974,2023,"Rural E-Commerce and Emerging Paths Toward Product Renewal: Evidence from Taobao Villages in Zhejiang Province, China",False,False
10.1080/24694452.2023.2243316,2023,Exploring Life-Course Trajectories in Local Spatial Contexts Across Sweden,False,False
10.1080/24694452.2023.2209631,2022,Transgressive Capabilities: Skill Development and Social Disruption in Rural India,False,False
10.1080/00330124.2023.2199326,2022,Welcome to the Digital Village: Networking Geographies of Agrarian Change,False,False
